title,meal_type,category,servings,is_public,notes,ingredients,directions
Pumpkin Pie Bars,Dessert,Pies,12,TRUE,,salted butter:.75:cup|granulated sugar:.5:cup|salt:.25:tsp|all purpose flour:1.5:cup|water:2:tbsp|pumpkin puree:15:oz|eggs:2:ea|evaporated milk:12:oz|pumpkin pie spice:1.5:tsp|cinnamon:1.5:tsp|cornstarch:1:tbsp|vanilla:.5:tsp|granulated sugar:1.25:cup,"Preheat oven to 425f combine: butter, sugar, salt, and flower together and mix until mixture resembles clumps of sand|Add water and mix to form a dough|Grease a 9x13 baking pan and press the mixture into an even layer approximately 1 cm thick|Bake the shortbread crust for 15 minutes and remove from oven.  Reduce oven heat to 350f|Make pumpkin pie filling by combining all the rest of the ingredients and mixing until smooth.| Pour the mixture over the crust and bake for 40-45 minutes or until the center is set.  Remove from oven and let cool|Serve cool and topped with whipped cream"
Zuppa Tuscana,Dinner,"Curry, Soups & Stews",6,TRUE,,spicy italian sausage:1:lb|bacon:8:slices|onion:1:ea|garlic:2:cloves|flour:2:tbsp|chicken broth:32:oz|potatoes:4:ea|heavy cream:1:cup|kale:.5:bunch|salt::to taste|pepper::to taste|red pepper flakes:1:pinch,"Heat a drizzel of oil in the bottom of a large pot over med-high heat.   Brown sausage and bacon until crumbly. Drain all but 2 TBS of grease.|Add chopped onion to the pot and brown, adding garlic at the last minute|  Sprinkle flour over the meat/onion mixture and stir.  Pour in chicken broth and add potatoes. Stir and bring to a boil.|Turn down the heat and simmer approximately 20 minutes.  Stir in kale the last 5-10 minutes until kale is wilted. Season with salt, pepper, and red pepper flakes to taste."
